vendor,name,existing_type,curve_inferred,keyword_inferred,final_type,confidence,signals
Akko,"Blue V2",Unknown,curve,,Linear,0.62,"drop=0.14"
Cherry,"Cherry MX Red",Linear,no_csv,,Linear,0.50,"no_csv; keyword:Linear"
Gateron,"G Pro 3.0 Goldenrod Blue",Unknown,curve,,Linear,0.62,"drop=0.14"
Gateron,"Gateron Ink Black V2",Linear,no_csv,,Linear,0.50,"no_csv; keyword:Linear"
Gateron,"KS-33 Low Profile Brown",Unknown,curve,,Linear,0.83,"drop=0.06; conflict:curve=Linear(0.83),keyword=Tactile(0.6)"
Gateron,"KS9 Pro 2.0 Blue",Unknown,curve,,Linear,0.64,"drop=0.14"
Gateron,"North Pole V2 Silver",Unknown,curve,,Tactile,0.80,"drop=0.15; conflict:curve=Tactile(0.8),keyword=Linear(0.5)"
Kailh,"Black Cloud",Unknown,curve,,Tactile,1.00,"drop=0.37; conflict:curve=Tactile(1),keyword=Linear(0.5)"
Kailh,"Midnight Light Yellow",Unknown,curve,,Tactile,1.00,"drop=0.33; conflict:curve=Tactile(1),keyword=Linear(0.5)"
Kailh,"Pro Midnight Light Yellow",Unknown,curve,,Tactile,1.00,"drop=0.30; conflict:curve=Tactile(1),keyword=Linear(0.5)"
Kailh,"Pro Purple (PCB Mount)",Unknown,curve,,Linear,0.63,"drop=0.14"
Kailh,"Pro Purple (Plate Mount)",Unknown,curve,,Linear,0.60,"drop=0.15"
Outemu,"Blue (Black Housing)",Unknown,curve,,Tactile,1.00,"drop=0.49; conflict:curve=Tactile(1),keyword=Linear(0.5)"
Outemu,"Silent Translucent Black",Unknown,curve,,Tactile,0.99,"drop=0.25; conflict:curve=Tactile(0.99),keyword=Linear(0.5)"
Zeal,"io V1 Redux 62g",Unknown,curve,,Tactile,1.00,"drop=0.32; conflict:curve=Tactile(1),keyword=Linear(0.5)"